c5	c1	c2	c3	c4	c6	c7	c8	c9	c10	c75	c132	c134	c136	c138	c139	c140	c141	c144	c145	c147	c149	c151	c152	c153	c155	c157	c160	c162	c203	c204	c214	c233	c234	c790	c22	c23	c24	c25	c26	c27	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c102	c104	c106	c108	c110	c112	c113	c114	c115	c117	c118	c143	c240	c241	c242	c243	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c76	c250	c205	c206	c207	c208	c210	c41	c43	c45	c47	c49	c50	c52	c53	c54	c55	c56	c57	c58	c59	c119	c120	c121	c122	c126	c127	c128	c129	c130	c78	c80	c82	c84	c86	c88	c90	c92	c94	c96	c98	c100	c111	c123	c124	c125	c184	c192	c244	c40	c44	c46	c48	c51	c77	c79	c81	c83	c85	c87	c89	c91	c93	c95	c97	c99	c101	c103	c105	c107	c109	c131	c133	c135	c137	c146	c148	c150	c154	c156	c158	c161	c163	c183	c191	c229	c230	end_of_record
20100814041849A	A	091	   	 	2010	08	14	20100814	1000	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	198608	04184	 	 	 	 	96389	TAYLOR	BC12-D      	      	        	  	STRD	20635	* 	  	CONT M	A&C65 SERIES 	      	        	  	     	EA	EA65	ME	HARRISON       	AIRPORT NAME                  																							2  	1  	1 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	2  	0  	20100904				20150831	01	N						0    		0    	1300 				ACCIDENT OCCURRED AUGUST 14, 2010, AT OFF FIELD WOODED SITE, NEAR ROUTE 35 IN HARRISON, MAINE.AIRCRAFT IS A 1946 TA	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100819042049A	A	091	   	 	2010	08	19	20100819	1500	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	198651	04204	 	 	 	 	189M 	MEYERS	200C        	      	        	  	STRD	1854 	* 	  	CONTIN	IO-520       	N/A   	        	  	     	SW	SW19	TX	JUSTIN         	PROPWASH                      		16X 																16X 					1  	0  	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20100914				20150831	03	N						200  		25   	2008 				ON APPROACH, PILOT STATED HE THROTTLED BACK TO IDLE TO LOSE ALTITUDE, ATTEMPTED TO THROTTLE UP AND ENGINE WOULD NOT	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100824042051A	A	091	   	 	2010	08	24	20100824	1612	G	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	198640	04205	 	 	 	 	5101L	PIPER 	PA-28-180   	      	        	  	STRD		* 	  	LYCOMI	O&VO-360 SER 	      	        	  	     	NM	NM01	WA	SEQUIM         	DIAMOND POINT AIRSTRIP        		2WA1			48 05N	12255W										DRY		2WA1					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100914				20150831	01	N						133  		4    	550  				AIRCRAFT WAS LANDING AT DIAMOND POINT AIRSTRIP.  THE AIRCRAFT TOUCHED DOWN PRIOR TO THE RUNWAY AND MADE CONTACT WIT	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100824042091A	A	091	   	 	2010	08	24	20100824	1612	G	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	198641	04209	 	 	 	 	50464	CESSNA	150J        	      	        	  	STRD		* 	  	CONT M	0-200 SERIES 	      	        	  	     	NM	NM01	WA	SEQUIM         	DIAMOND POINT AIRSTRIP        					48 05N	12255W										DRY							2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100914				20120525		N						0    		0    	0    				THE AIRCRAFT WAS IN THE RUNUP AREA NEXT TO THE RUNWAY.  AN AIRCRAFT COMING IN TO LAND TOUCHED PRIOR TO THE RUNWAY A	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	RU	S	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Run-Up Area         	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100813042149A	A	091	   	 	2010	08	13	20100813	1245	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	198658	04214	 	 	 	 	3463Q	PIPER 	PA-28R-201  	      	        	  	STRD	8490 	* 	  	      	             	      	        	  	     	WP	WP11	CA	EMIGRANT GAP   																								2  	1  	1 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	2  	0  	20100915				20150831	01	N						22   		8    	333  				ON AUGUST 13, 2010 PILOT, GABRIEL A. SUAREZ CERTIFICATE ^PRIVACY DATA OMITTED^, WAS TRAINING FOR  MOUNTAIN FLYING U	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	D	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100710038769I	I	091	   	 	2010	07	10	20100710	1743	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	198313	03876	 	 	 	 	54102	CESSNA	172P        	      	        	  	STRD	4046 	* 	  	LYCOMI	0-320 SERIES 	      	        	  	     	WP	WP15	CA	SAN JOSE       	REID HILLVIEW                 		KRHV																KRHV					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100807				20150731	01	N						23   		22   	233  				WHILE TAXIING ON INSIDE RAMP TO RUNWAY 31R PILOT OF N54102 BECAME DISTRACTED INSIDE COCKPIT AND WINGTIP STRUCK REAR	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	GR	M	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Ground/Ramp/Ma      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100710039089I	I	091	   	 	2010	07	10	20100710	1055	9	 	 	 	 	 	 	   	1H72	1	H	7	2 	3O  	 	 	TR	  	  	198344	03908	 	 	 	 	9KX  	CESSNA	337A        	      	        	  	STRD	5795 	* 	  	CONT M	IO-360 SER   	      	        	  	     	EA	EA09	VA	ABINGDON       	VIRGINIA HIGHLANDS            		VJI 																VJI 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100811				20150731	01	N						0    		0    	0    				07/10/2010 @ 1055 EDTVIRGINIA HIGHLANDS AIRPORT, VA (VJI): N9KX, A CESSNA 337A, LANDED GEAR UP ON RUNWAY 6 FOR UNKN	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	M	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100710039469A	A	091	   	 	2010	07	10	20100710	1645	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	198387	03946	 	 	 	 	72609	CESSNA	140         	      	        	  	STRD	6550 	* 	  	CONT M	C85 SERIES   	      	        	  	     	GL	GL11	IN	FRANKLIN       			63II																63II					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100813				20150831	01	N						85   		3    	100  				ON JULY 10, 2010, AT 1645 EDT A CESSNA, C140, N72609 OWNED BY ^PRIVACY DATA OMITTED^ AND OPERATED BY ^PRIVACY DATA 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100711037149I	I	091	   	 	2010	07	11	20100711	1800	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	198148	03714	 	 	 	 	579DR	ROBB D	VANS RV6    	      	        	  	EXPT	161  	* 	  	LYCOMI	IO-360-A1A   	      	        	  	     	SW	SW13	TX	AMARILLO       	RIVERFALLS AIRPORT            																							1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100723				20180430	01	N						161  		10   	470  				ON JULY 11, 2010 THE OWNER OF THE AIRCRAFT, AND PRIVATE PILOT, DEPARTED FROM TRADEWIND AIRPORT (TDW) TO FLY THE AIR	DAVID M ROBB                  	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	M	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100711037179A	A	137	   	 	2010	07	11	20100711	0700	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	198147	03717	 	 	 	 	42590	AIR TR	AT-602      	      	        	  	REST	410  	* 	  	P&W CA	PT6A-60AG    	      	        	  	     	SW	SW11	AR	LAKE VILLAGE   	LAKE VILLAGE MUNICIPAL        		M32 			33 23N	91 18W												M32 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100723				20150902	03	N						4429 		350  	12716				ON JULY 11, 2010 AT 0700 CDT, AN AIR TRACTOR AT602, N42590, REGISTERED TO ^PRIVACY DATA OMITTED^ IN BEAR, DELAWARE 	                              	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	MN	D	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Maneuver            	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100711037209A	A	091	-23	 	2010	07	11	20100711	2010	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	198150	03720	 	N	 	 	345MT	CESSNA	177B        	      	        	  	STRD	3450 	* 	  	      	             	      	        	  	     	SW	SW15	OK	OWASSO         	GUNDYS'                       	18  	038 														DRY		038 					3  	2  	2 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	3  	0  	20100723		20110118		20150731		N				64		0    		22   	314  				ON JULY 11, 2010, N345NT, A CESSNA 177, SERIAL NUMBER 17702031, CRASHED DURING AN APPROACH TO GUNDYS' AIRPORT (038)	                              	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	  	D	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100711037239A	A	091	   	 	2010	07	11	20100711	1230	9	 	 	 	 	 	 	   	1L71	1	L	7	1 	3O  	 	 	TR	  	  	198143	03723	 	 	 	 	9447S	BEECH 	V35A        	      	        	  	STRD		* 	  	CONT M	TSIO 520 SERI	D1    	        	  	     	SW	SW01	NM	ELEPHANT BUTTE 						33 15N	10709W																	1  	0  	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20100723				20150731	01	N						5200 		20   	13500				ON JULY 11, 2010 AT 1230 MDT, N9447S, A BEECH BE-V35A, LANDED IN ELEPHANT BUTTE RESERVOIR AFTER SUFFERING A POWER L	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TC	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Climb Out  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100711038249A	A	091	   	 	2010	07	11	20100711	0915	9	 	 	 	 	 	 	   	1L72	1	L	7	2 	3O  	 	 	TR	  	  	198269	03824	 	 	 	 	405RW	BEECH 	58          	      	        	  	STRD	3239 	* 	  	CONT M	IO 520 SERIES	      	        	  	     	SO	SO11	GA	LAGRANGE       	LAGRANGE                      		LGC 			33 00N	85 04W												LGC 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100804				20151008	09	N						215  		27   	29300				THE PILOT MADE A FUEL STOP IN LAGRANGE, GA WHERE THE LINEMAN FUELED BOTH WINGS TANKS TO THE FULL MARK IN THE FILLER	                              	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	GR	S	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Ground/Ramp/Ma      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100711038499I	I	091	   	 	2010	07	11	20100711	1637	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	198281	03849	 	 	 	 	30130	WACO  	UPF-7       	      	        	  	STRD	4886 	* 	  	CONT M	W670 SERIES  	      	        	  	     	EA	EA63	MA	WESTFIELD      			KBAF																KBAF					2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100806				20151008	F9	N						258  		28   	15706				^PRIVACY DATA OMITTED^, A CERTIFIED FLIGHT INSTRUCTOR (CFI), WAS PROVIDING TAIL WHEEL INSTRUCTION AT THE TIME OF TH	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100711040099A	A	091	   	 	2010	07	11	20100711	1430	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	198452	04009	 	 	 	 	3295T	CESSNA	177         	      	        	  	STRD		* 	  	LYCOMI	O&VO-360 SER 	      	        	  	     	WP	WP21	CA	CHINO HILLS    						33 58N	11742W																	1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100825				20150731	01	N						364  		0    	450  				PILOT IN COMMAND DEPARTED KPOC VFR TO KTSP THEN PROCEEDED VFR TO L05.  PILOT STATES HE VISUALLY CHECKED HIS FUEL TA	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100712038289A	A	091	   	 	2010	07	12	20100712	1400	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	198241	03828	 	 	 	 	7751K	CESSNA	180J        	      	        	  	STRD	3667 	* 	  	CONT M	O-470 SERIES 	      	        	  	     	AL	AL03	AK	KAKHONAK       						59 11N	15501W																	2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100804				20150731	F3	N						50   		20   	12300				LEFT HOMER AT 0930 AND FLEW TO MORAINE CREEK AND LANDED ON 1300 FOOT TUNDRA STRIP. ON DEPARTURE FROM THE STRIP THE 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TR	S	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Rotation   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100712038579I	I	091	   	 	2010	07	12	20100712	1730	9	 	 	 	 	 	 	   	1L71	1	L	7	1 	3O  	 	 	TR	  	  	198289	03857	 	 	 	 	126AC	CIRRUS	SR20        	      	        	  	EXPT	1    	* 	  	TCM   	IO-360-ES    	100234	        	  	     	GL	GL15	MN	DULUTH         		09  	KDLH			46 50N	92 12W										DRY		KDLH					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100806				20150918	03	N						2500 		250  	3550 				THE AIRCRAFT WAS CERTIFICATED AS EXPERIMENTAL AND WAS PERFORMING A RESEARCH AND DEVELOPMENT MISSION FOR THE TYPE CE	                              	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	M	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100712038959A	A	091	   	 	2010	07	12	20100712	0800	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	198330	03895	 	 	 	 	2185K	PIPER 	PA-32RT-300 	      	        	  	STRD	2650 	* 	  	LYCOMI	IO-540 SER   	      	        	  	     	NM	NM11	ID	YELLOW PINE    	JOHNSON CREEK                 		3U2 														WET		3U2 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100810				20150731	01	N						2460 		16   	2650 				DURING THE TAKEOFF ROLL, THE PILOT DETERMINED THE AIRCRAFT HAD NOT REACHED A SAFE LIFTOFF SPEED BY THE PILOT'S PRED	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TD	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Departure R	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100712038969I	I	091	   	 	2010	07	12	20100712	0800	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	198331	03896	 	 	 	 	3293D	CESSNA	180         	      	        	  	STRD		* 	  	CONT M	O-470 SERIES 	      	        	  	     	NM	NM11	ID	YELLOW PINE    	JOHNSON CREEK                 		3U2 																3U2 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100810				20150731	03	N						3500 		15   	20000				ON SHORT FINAL, PILOT ELECTED TO PERFORM A GO-AROUND MANEUVER TO AVOID ANOTHER AIRCRAFT ON AN OPPOSITE DIRECTION TA	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	M	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100819042229A	A	137	   	 	2010	08	19	20100819	1155	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	198655	04222	 	 	 	 	6607Q	GRUMMA	G-164B      	      	        	  	REST		* 	  	P&W   	R-985 SERIES 	UNKNOW	        	  	     	WP	WP07	AZ	BUCKEYE        	BURGER FIELD                  																							1  	0  	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20100915				20150831	09	N						0    		0    	14000				ON AUGUST 19, 2010, N6607Q, PILOTED BY EDWIN CLARK CRAWFORD, CERTIFICATE NUMBER ^PRIVACY DATA OMITTED^, LOST CONTRO	CRAWFORD AVIATION             	  	7CAG	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TD	D	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Departure R	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100814042259I	I	091	   	 	2010	08	14	20100814	1025	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	198652	04225	 	 	 	 	39913	PIPER 	PA-28-161   	      	        	  	STRD		* 	  	LYCOMI	0-320 SERIES 	      	        	  	     	WP	WP01	CA	LANCASTER      	FOX FIELD                     		WJF 																WJF 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100915				20120525		N						1450 		380  	3500 				AIRCRAFT LANDED RUNWAY 24. ON TOUCHDOWN THE RIGHT MAIN GEAR STRUT HOUSING BROKE CAUSING THE AIRPLANE TO VEER TO THE	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	M	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100816042209I	I	091	   	 	2010	08	16	20100816	1340	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	198666	04220	 	 	 	 	4257A	MAULE 	M-7-235C    	      	        	  	STRD	460  	* 	  	LYCOMI	IO-540       	W1A5  	        	  	     	WP	WP19	NV	NORTH LAS VEGAS	NORTH LAS VEGAS               	25  	VGT 			36 12N	11511W										DRY		VGT 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100915				20150831	01	N						273  		32   	460  				AIRMAN RECIEVED WEATHER BRIEFING AND DEPARTED TWF FOR VGT WITH 2 POB. PILOT RECIEVED ATIS WEATHER UPDATE AND CLEARA	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	M	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100822042189A	A	091	   	 	2010	08	22	20100822	1530	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	OT	  	  	198659	04218	 	 	 	 	794G 	BURKHA	G-103A TWIN 	      	        	  	STRD	9858 	* 	  	NONE  	NONE         	      	        	  	     	WP	WP11	NV	MINDEN         	MINDEN-TAHOE AIRPORT          	30  	MEV 			39 00N	11945W										DRY		MEV 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100915				20150831	01	N						2    		17   	441  				GLIDER.  THE PILOT STATED THE FOLLOWING: THAT HE FLEW THE PATTERN FOR RUNWAY 30. THAT HE FELT HE WAS "A LITTLE BIT 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Other, Specify                	                    	                    	                    	                    			 
20100821042169A	A	091	   	 	2010	08	21	20100821	1100	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	198664	04216	 	 	 	 	948DW	WILDE 	ZENITH 701  	      	        	  	EXPT		* 	  	ROTAX 	912S         	      	        	  	     	WP	WP17	CA	TURLOCK        	PRIVATE STRIP                 					37 27N	12053W										OTH							2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100915				20150831	04	N						127  		18   	800  				N948DE, A LIGHT SPORT AIRCRAFT, UPON LANDING AT A PRIVATE AIRSTRIP, THE LEFT MAIN WHEEL HIT A DITCH AND THE AIRCRAF	WILDE, DANIEL L.              	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	S	 	   	 	 	 	 	 	 	SPORT PILOT         	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
