make,year,defects_per_tail,rel_rate,bracket
BAC,2004,7.914893617021277,1.7757774140752864,high
BAC,2005,5.864864864864865,1.3158350658350657,high
BAC,2006,3.869565217391304,0.8681716833890747,medium
BAC,2015,1.6666666666666667,0.37393162393162394,low
BAC,2016,1.2,0.2692307692307692,low
BAC,2018,1.25,0.28044871794871795,low
BAC,2019,1.6666666666666667,0.37393162393162394,low
BAG,2000,4.471698113207547,1.4905660377358492,high
BAG,2001,4.171428571428572,1.3904761904761906,high
BAG,2002,2.85,0.9500000000000001,medium
BAG,2003,3.5,1.1666666666666667,high
BAG,2004,2.8181818181818183,0.9393939393939394,medium
BAG,2005,3.5384615384615383,1.1794871794871795,high
BAG,2006,2.3076923076923075,0.7692307692307692,low
BAG,2007,5.333333333333333,1.7777777777777777,high
BAG,2008,3.0,1.0,medium
BAG,2015,1.2,0.39999999999999997,low
BAG,2017,1.3333333333333333,0.4444444444444444,low
BEECH,2000,2.3265895953757227,0.9188670970063653,medium
BEECH,2001,2.597142857142857,1.0257198443579767,medium
BEECH,2002,2.7018970189701896,1.0670916242236352,medium
BEECH,2003,2.914772727272727,1.1511651043509021,high
BEECH,2004,2.4545454545454546,0.9694021931376018,medium
BEECH,2005,2.672316384180791,1.0554089999780167,medium
BEECH,2006,2.6852367688022283,1.0605117977954326,medium
BEECH,2007,3.228739002932551,1.2751634583566303,high
BEECH,2008,2.629343629343629,1.0384372699547797,medium
BEECH,2009,3.5018867924528303,1.3830408927391529,high
BEECH,2010,3.062730627306273,1.2095998391890534,high
BEECH,2011,4.01937984496124,1.5874204446053148,high
BEECH,2012,2.9965156794425085,1.1834487994685394,high
BEECH,2013,3.229665071770335,1.2755292014968445,high
BEECH,2014,2.8348214285714284,1.1195890077821011,medium
BEECH,2015,2.5320197044334973,1.0,medium
BEECH,2016,1.6022099447513811,0.6327794139776856,low
BEECH,2017,1.6132596685082874,0.6371434099361525,low
BEECH,2018,1.393103448275862,0.5501945525291829,low
BEECH,2019,1.669172932330827,0.6592258857259882,low
BEECH,2020,1.2295081967213115,0.4855839765261211,low
BEECH,2021,1.4511278195488722,0.5731107925455663,low
BEECH,2022,1.125,0.4443093385214008,low
BEECH,2023,1.3603603603603605,0.53726294387773,low
BEECH,2024,1.2589285714285714,0.4972033073929961,low
BEECH,2025,1.2873563218390804,0.5084306095979249,low
BEECH,2026,1.0689655172413792,0.42217898832684825,low
BOEING,2000,6.695899309784815,0.6610338591947522,low
BOEING,2001,6.976003147128245,0.6886863240852878,low
BOEING,2002,6.3818346136466335,0.6300287038720505,low
BOEING,2003,5.690423162583519,0.5617710496507862,low
BOEING,2004,6.3260286225402504,0.6245194140872813,low
BOEING,2005,6.953488372093023,0.6864636161349629,low
BOEING,2006,8.379890618426588,0.827281172976068,low
BOEING,2007,9.531224322103533,0.9409433602569304,medium
BOEING,2008,10.71440329218107,1.0577493820508215,medium
BOEING,2009,11.58245908518674,1.1434457529637436,high
BOEING,2010,11.861319966583125,1.1709755105182709,high
BOEING,2011,12.88066640836885,1.2716076259512779,high
BOEING,2012,12.612237093690249,1.245107695532118,high
BOEING,2013,13.37376531015409,1.3202874305498131,high
BOEING,2014,10.2936,1.0162067585251329,medium
BOEING,2015,10.12943469785575,1.0,medium
BOEING,2016,9.632369508073602,0.9509286347551685,medium
BOEING,2017,9.868714141073237,0.9742610950601515,medium
BOEING,2018,10.977077363896848,1.0836811422675474,medium
BOEING,2019,11.851628895184136,1.1700187867041534,high
BOEING,2020,9.67403314917127,0.9550417607429879,medium
BOEING,2021,10.883880274071403,1.074480521245214,medium
BOEING,2022,10.906472491909385,1.0767108745188043,medium
BOEING,2023,10.745373134328359,1.0608067927623832,medium
BOEING,2024,10.153019744483158,1.0023283675082482,medium
BOEING,2025,9.481267217630855,0.9360114853830784,medium
BOEING,2026,4.839581831290555,0.4777741281371825,low
BOMBDR,2000,2.25,0.2314502529510961,low
BOMBDR,2001,1.1666666666666667,0.12001124227093873,low
BOMBDR,2002,16.14814814814815,1.6611079882580726,high
BOMBDR,2003,29.40909090909091,3.0252184577648324,high
BOMBDR,2004,17.916666666666668,1.8430297920179877,high
BOMBDR,2005,19.692307692307693,2.025684265144636,high
BOMBDR,2006,44.57575757575758,4.585364607287036,high
BOMBDR,2007,18.3125,1.883747892074199,high
BOMBDR,2008,9.721311475409836,1.0,medium
BOMBDR,2009,10.686567164179104,1.0992927437013917,medium
BOMBDR,2010,10.647887323943662,1.0953138731206802,medium
BOMBDR,2011,16.41747572815534,1.6888128489333485,high
BOMBDR,2012,20.21904761904762,2.0798683048261464,high
BOMBDR,2013,19.363636363636363,1.9918749041851909,high
BOMBDR,2014,14.065420560747663,1.4468645096215977,high
BOMBDR,2015,12.861386138613861,1.3230093667039553,high
BOMBDR,2016,9.221153846153847,0.9485503956414582,medium
BOMBDR,2017,6.420634920634921,0.660470033994486,low
BOMBDR,2018,5.410526315789474,0.5565634152835714,low
BOMBDR,2019,7.201612903225806,0.7408067236033291,low
BOMBDR,2020,4.0476190476190474,0.41636553440937923,low
BOMBDR,2021,3.4609929078014185,0.3560211928767058,low
BOMBDR,2022,3.011764705882353,0.3098105346691796,low
BOMBDR,2023,3.216867469879518,0.33090879538389645,low
BOMBDR,2024,4.813253012048193,0.49512383429163537,low
BOMBDR,2025,4.575757575757576,0.4706934437119935,low
BOMBDR,2026,2.7625,0.2841694772344014,low
BRAERO,2000,2.357142857142857,1.1092436974789917,medium
BRAERO,2001,2.3846153846153846,1.1221719457013575,medium
BRAERO,2002,2.4166666666666665,1.1372549019607843,high
BRAERO,2003,1.7941176470588236,0.8442906574394464,low
BRAERO,2004,1.9393939393939394,0.912655971479501,medium
BRAERO,2005,2.2222222222222223,1.0457516339869282,medium
BRAERO,2006,2.210526315789474,1.0402476780185759,medium
BRAERO,2007,4.111111111111111,1.9346405228758168,high
BRAERO,2008,1.5263157894736843,0.7182662538699691,low
BRAERO,2009,2.0,0.9411764705882353,medium
BRAERO,2010,1.6666666666666667,0.7843137254901961,low
BRAERO,2011,3.6,1.6941176470588235,high
BRAERO,2012,1.7777777777777777,0.8366013071895424,low
BRAERO,2013,2.6,1.223529411764706,high
BRAERO,2014,2.625,1.2352941176470589,high
BRAERO,2015,2.125,1.0,medium
BRAERO,2018,1.2,0.5647058823529412,low
BRAERO,2021,1.3333333333333333,0.6274509803921569,low
BRAERO,2022,1.0,0.47058823529411764,low
CESSNA,2000,2.295801526717557,1.1403817627254242,high
CESSNA,2001,2.20040899795501,1.0929979192898795,medium
CESSNA,2002,2.1491053677932404,1.0675141291986074,medium
CESSNA,2003,2.1336805555555554,1.0598522410237747,medium
CESSNA,2004,1.919175911251981,0.9533024449996195,medium
CESSNA,2005,2.295839753466872,1.1404007509033043,high
CESSNA,2006,2.1927710843373496,1.0892039774819804,medium
CESSNA,2007,2.350584307178631,1.167593733369298,high
CESSNA,2008,2.510600706713781,1.2470778619593563,high
CESSNA,2009,2.1640488656195465,1.074936936524993,medium
CESSNA,2010,1.86654478976234,0.927159256923433,medium
CESSNA,2011,1.9645868465430016,0.975859186874526,medium
CESSNA,2012,2.0431778929188256,1.0148973158057486,medium
CESSNA,2013,2.1226765799256504,1.0543862924303176,medium
CESSNA,2014,2.0020242914979756,0.9944552976327281,medium
CESSNA,2015,2.002159827213823,0.9945226215963859,medium
CESSNA,2016,1.8815261044176708,0.9346008488100875,medium
CESSNA,2017,1.6029106029106028,0.7962055942405287,low
CESSNA,2018,1.6700507614213198,0.829555782147053,low
CESSNA,2019,1.7670886075949368,0.8777568956939915,medium
CESSNA,2020,1.5985401459854014,0.7940346795014821,low
CESSNA,2021,1.963265306122449,0.9752027448533999,medium
CESSNA,2022,2.013186813186813,1.0,medium
CESSNA,2023,2.0504201680672267,1.0184947341381967,medium
CESSNA,2024,1.9114688128772637,0.9494741374008242,medium
CESSNA,2025,2.3025641025641024,1.1437409024745269,high
CESSNA,2026,1.488599348534202,0.7394243488898056,low
CNDAIR,2000,7.969298245614035,0.9610595525736988,medium
CNDAIR,2001,5.902777777777778,0.711846990188279,low
CNDAIR,2002,5.447916666666667,0.6569928985914175,low
CNDAIR,2003,5.121478873239437,0.6176260497139796,low
CNDAIR,2004,5.310204081632653,0.6403854143089217,low
CNDAIR,2005,6.638761467889908,0.8006031308321537,low
CNDAIR,2006,8.29220023282887,1.0,medium
CNDAIR,2007,7.03183962264151,0.848006491064026,low
CNDAIR,2008,5.9597238204833145,0.7187144127186814,low
CNDAIR,2009,7.17116060961313,0.8648079409880218,medium
CNDAIR,2010,8.251059322033898,0.995038601379632,medium
CNDAIR,2011,13.18338399189463,1.5898535517390828,high
CNDAIR,2012,9.87012987012987,1.1902908266799888,high
CNDAIR,2013,10.822175732217573,1.3051030400077068,high
CNDAIR,2014,11.728971962616823,1.4144583624719713,high
CNDAIR,2015,10.046740467404675,1.2115892266602015,high
CNDAIR,2016,10.678743961352657,1.287805849052637,high
CNDAIR,2017,7.581658291457287,0.914312013528262,medium
CNDAIR,2018,6.964285714285714,0.8398598102725577,low
CNDAIR,2019,9.567785234899329,1.1538294983544186,high
CNDAIR,2020,15.02377179080824,1.81179558729528,high
CNDAIR,2021,17.6048632218845,2.123062966109615,high
CNDAIR,2022,10.184385382059801,1.2281885502161125,high
CNDAIR,2023,8.313278008298756,1.0025418797035843,medium
CNDAIR,2024,9.195035460992909,1.1088776443904127,medium
CNDAIR,2025,11.201818181818181,1.3508861179533649,high
CNDAIR,2026,5.417721518987341,0.653351507063053,low
CURTIS,2002,1.0,1.0,medium
CURTIS,2013,1.0,1.0,medium
CVAC,2000,2.125,0.8173076923076923,low
CVAC,2001,2.142857142857143,0.8241758241758241,low
CVAC,2002,2.857142857142857,1.098901098901099,medium
CVAC,2003,1.7692307692307692,0.680473372781065,low
CVAC,2004,3.8181818181818183,1.4685314685314685,high
CVAC,2005,2.7,1.0384615384615385,medium
CVAC,2006,2.0,0.7692307692307692,low
CVAC,2007,2.5,0.9615384615384615,medium
CVAC,2008,3.1,1.1923076923076923,high
CVAC,2009,4.2,1.6153846153846154,high
CVAC,2010,3.4,1.3076923076923077,high
CVAC,2011,2.857142857142857,1.098901098901099,medium
CVAC,2012,3.3333333333333335,1.2820512820512822,high
CVAC,2013,3.857142857142857,1.4835164835164836,high
CVAC,2014,4.5,1.7307692307692306,high
CVAC,2015,5.375,2.067307692307692,high
CVAC,2016,1.375,0.5288461538461539,low
CVAC,2017,1.0,0.3846153846153846,low
CVAC,2018,1.3333333333333333,0.5128205128205128,low
CVAC,2019,3.75,1.4423076923076923,high
CVAC,2020,1.5,0.5769230769230769,low
CVAC,2021,1.5,0.5769230769230769,low
CVAC,2022,1.3333333333333333,0.5128205128205128,low
CVAC,2023,1.0,0.3846153846153846,low
DHAV,2000,8.815286624203821,1.2494881710646042,high
DHAV,2001,9.322222222222223,1.321341765873016,high
DHAV,2002,12.139240506329115,1.7206289556962027,high
DHAV,2003,8.192592592592593,1.161226851851852,high
DHAV,2004,6.3076923076923075,0.8940590659340659,medium
DHAV,2005,7.05511811023622,1.0,medium
DHAV,2006,13.60431654676259,1.9282904033915724,high
DHAV,2007,9.544827586206896,1.3528940886699508,high
DHAV,2008,7.697247706422019,1.091016136959371,medium
DHAV,2009,5.605504587155964,0.7945302260812582,low
DHAV,2010,6.327272727272727,0.8968344155844156,medium
DHAV,2011,10.39423076923077,1.4732894059065935,high
DHAV,2012,11.435185185185185,1.6208354001322751,high
DHAV,2013,11.333333333333334,1.6063988095238095,high
DHAV,2014,8.802083333333334,1.2476167224702381,high
DHAV,2015,10.034090909090908,1.4222427962662336,high
DHAV,2016,7.1375,1.0116768973214285,medium
DHAV,2017,5.573170731707317,0.7899471907665505,low
DHAV,2018,5.948717948717949,0.8431776556776557,low
DHAV,2019,6.714285714285714,0.9516900510204082,medium
DHAV,2020,3.7142857142857144,0.5264668367346939,low
DHAV,2021,3.111111111111111,0.4409722222222222,low
DHAV,2022,3.0526315789473686,0.43268327067669177,low
DHAV,2023,3.8947368421052633,0.5520441729323309,low
DHAV,2024,1.4545454545454546,0.20616883116883117,low
DHAV,2025,2.125,0.3011997767857143,low
DHAV,2026,1.0,0.14174107142857142,low
DORNER,2000,6.1395348837209305,2.7286821705426356,high
DORNER,2001,5.666666666666667,2.5185185185185186,high
DORNER,2002,6.2,2.7555555555555555,high
DORNER,2003,4.894736842105263,2.1754385964912277,high
DORNER,2004,3.183333333333333,1.4148148148148147,high
DORNER,2005,4.461538461538462,1.982905982905983,high
DORNER,2006,2.6666666666666665,1.1851851851851851,high
DORNER,2007,2.6,1.1555555555555557,high
DORNER,2008,2.0,0.8888888888888888,medium
DORNER,2009,1.5555555555555556,0.691358024691358,low
DORNER,2010,3.0,1.3333333333333333,high
DORNER,2011,2.0,0.8888888888888888,medium
DORNER,2012,2.6666666666666665,1.1851851851851851,high
DORNER,2013,2.25,1.0,medium
DORNER,2014,1.8333333333333333,0.8148148148148148,low
DORNER,2015,1.3333333333333333,0.5925925925925926,low
DORNER,2016,2.0,0.8888888888888888,medium
DORNER,2019,2.0,0.8888888888888888,medium
DORNER,2020,1.25,0.5555555555555556,low
DORNER,2021,1.3333333333333333,0.5925925925925926,low
DORNER,2024,1.3333333333333333,0.5925925925925926,low
DOUG,2000,10.938807126258714,1.1012432206444045,medium
DOUG,2001,8.160655737704918,0.8215582104548987,low
DOUG,2002,7.1024667931688805,0.7150270880134216,low
DOUG,2003,7.491820040899795,0.7542244721112067,low
DOUG,2004,8.906806282722513,0.8966754713953784,medium
DOUG,2005,7.785114045618247,0.783751277970733,low
DOUG,2006,7.663329161451815,0.7714908206359196,low
DOUG,2007,7.432835820895522,0.7482863500056641,low
DOUG,2008,8.302176696542894,0.8358055588815201,low
DOUG,2009,9.12863070539419,0.9190072155079645,medium
DOUG,2010,9.252287581699347,0.9314561320255823,medium
DOUG,2011,9.933143669985775,1.0,medium
DOUG,2012,9.513056835637482,0.957708571595754,medium
DOUG,2013,8.606583072100314,0.8664510811523014,medium
DOUG,2014,10.255536626916525,1.032456286513292,medium
DOUG,2015,14.052919708029197,1.4147504732556961,high
DOUG,2016,15.875763747454176,1.5982617663554757,high
DOUG,2017,13.419501133786849,1.350982285128477,high
