embedding_index,event_id
494,20060315003269I
495,20021022030119I
496,20030628022079I
497,20050820027299A
498,20020121004539I
499,20060313005579I
500,20080420833149I
501,20040303003429I
502,20010519013549I
503,20040213001379I
504,20030201002059I
505,20020512008419I
506,20000822043129A
507,20050808026099A
508,20010126005429I
509,20030428020479I
510,20010105000709I
511,20050701012579I
512,20020116008109I
513,20010727020211I
514,20000716035449I
515,20000622035789I
516,20060119001329I
517,20061207028729I
518,20031008032049I
519,20001208030589I
520,20000605033639I
521,20051125028269I
522,20060319008279I
523,20060825024369I
524,20001002030299I
525,20080203010179I
526,20001108028059I
527,20060409012809I
528,20020810020829I
529,20080222839409I
530,20030105000449I
531,20020917026659I
532,20030819021769A
533,20060512009759I
534,20040125000599I
535,20080512836529I
536,20061011021509A
537,20000627032909I
538,20021024033449I
539,20051227033539I
540,20010605022959I
541,20000229020239I
542,20040611014779I
543,20001221024179I
544,20080228013929I
545,20010412014909I
546,20080203010389A
547,20060717024869I
548,20000808024109I
549,20010827027219I
550,20001213028239I
551,20080125010209I
552,20080217011261A
553,20021102034669I
554,20080129009879I
555,20050803016821I
556,20050803016822I
557,20070825829649I
558,20001120022069I
559,20051125032509I
560,20040113002099I
561,20001220041679A
562,20000203038769A
563,20020123009389I
564,20050119000869I
565,20020221003989I
566,20010219012309I
567,20050126001869I
568,20041029028739I
569,20050726031629I
570,20000321001709I
571,20030717016449I
572,20070125001359I
573,20020130001349I
574,20000704021749I
575,20050103000129I
576,20041101027189I
577,20040616011429I
578,20040324011669I
579,20030420009679I
580,20020707022069I
581,20030815024069I
582,20010106000319I
583,20021122031669I
584,20010221002659I
585,20060415009719I
586,20060611013829I
587,20040324009519I
588,20000202002499I
589,20051020029749I
590,20000619035799I
591,20040419005299I
592,20000726021919I
593,20030816024099I
594,20071225829119A
595,20010923028089I
596,20021015032499I
597,20060430007199A
598,20070826018419I
599,20020214003979I
600,20020614027159I
601,20041023030899I
602,20080415832049I
603,20030222002829I
604,20000727030429I
605,20000530033289I
606,20020405010799I
607,20001229031759I
608,20040114001959I
609,20040105000069I
610,20011215036639I
611,20020113004019I
612,20010821032669I
613,20001006018369I
614,20000427022329I
615,20031128032559I
616,20000802037589I
617,20201020020109I
618,20000616034139I
619,20011130032479I
620,20040203003089I
621,20010612012809I
622,20050922030889I
623,20000216001539I
624,20000723027699I
625,20020105001449I
626,20000718035389I
627,20020101000279I
628,20010722021939I
629,20050526007949I
630,20060518009919I
631,20010809028229I
632,20070412005169A
633,20051015032639I
634,20020103038769I
635,20031008029099I
636,20030214005739I
637,20071221829409A
638,20060320009319I
639,20000620027549I
640,20010304036739I
641,20050221006359I
642,20040616012339I
643,20030909024809I
644,20000927030009I
645,20060321007369I
646,20060905020909I
647,20201230021489I
648,20010619018149I
649,20050510019479I
650,20000924037609I
651,20021213035519I
652,20010322009639I
653,20020725021649I
654,20000119022679I
655,20040526010379I
656,20000122003369I
657,20000713035089I
658,20070320003559I
659,20040910023079I
660,20020104001569I
661,20051214029829A
662,20011012029889I
663,20031216033949I
664,20020423008349I
665,20010124002589I
666,20001218025149I
667,20000612032309I
668,20040623023579I
669,20020713028499I
670,20010830026849I
671,20080327831619I
672,20080319832649I
673,20040409009269I
674,20010928027919I
675,20071217831309I
676,20070429008119I
677,20060927028719I
678,20000722034199I
679,20001111038089I
680,20060727030729A
681,20041221033089I
682,20010304003309I
683,20060502007249I
684,20000413023299I
685,20030124006669I
686,20060621016179I
687,20010324005289I
688,20021101029329I
689,20080322837869I
690,20000430016339I
691,20001120044009A
692,20070312003149I
693,20010704013559I
694,20050117001589A
695,20040114002919I
696,20030902021119A
697,20070710017209A
698,20030912030559A
699,20080222012039I
700,20070324004299I
701,20010830030329I
702,20030924031009I
703,20020430013159I
704,20040803021279I
705,20020209001049I
706,20070511010769I
707,20060827030719A
708,20070727016479I
709,20021130035189I
710,20010327008409I
711,20080416832309I
712,20041223034819I
713,20061226026159I
714,20080213012489I
715,20050706017799I
716,20050819020349A
717,20000709034939I
718,20050718019199I
719,20030619019589I
720,20080125011129I
721,20030515011899I
722,20050612013649A
723,20000328001919I
724,20020510018949I
725,20070713011969I
726,20010218004229I
727,20031113035869I
728,20020811037509A
729,20040105000079I
730,20010416007469I
731,20070223004699I
732,20071223831369I
733,20030607020529I
734,20040404004999I
735,20030929026409I
736,20030215007589I
737,20031113028689I
738,20020522019049I
739,20051220029759I
740,20050705021619I
741,20001201022039I
742,20031031028679I
743,20000221022249I
744,20030510011579I
745,20010324006749I
746,20021219033519I
747,20000217003429I
748,20060809019289I
749,20011116032879I
750,20040813035189A
751,20040206001159I
752,20000417001779I
753,20040919025229I
754,20060407006629I
755,20040408007939I
756,20000830026849I
757,20051012026429A
758,20040305006859I
759,20051018023409I
760,20010826021789I
761,20000811027339I
762,20041220033499A
763,20000218002919I
764,20001129036519I
765,20030826021799I
766,20070424011229A
767,20001221037739I
768,20000226023309I
769,20061203029659A
770,20030529017059I
771,20060924019699I
772,20001120039659I
773,20061005023699I
774,20030801020079A
775,20001213021609I
776,20001029024639I
777,20060331011259I
778,20050526013309I
779,20020411008429I
780,20050609013869I
781,20040907030999I
782,20200804013379I
783,20050901032859A
784,20080607834169I
785,20030301034319A
786,20060724023089A
787,20031220036029I
788,20030605017249I
789,20050313004309I
790,20000213003309I
791,20021127035479I
792,20030902020279I
793,20060303008299I
794,20051108031929I
795,20060211009149I
796,20010801020009I
797,20040329004319I
798,20040524011759I
799,20071117832019I
800,20051010025549I
801,20011005032699I
802,20021005031739I
803,20040918026289I
804,20010302008469I
805,20010614023139I
806,20041228034279I
807,20040918032249I
808,20030110001139I
809,20050702019319I
810,20030227002619I
811,20050316004729I
812,20030508014979I
813,20010306005709I
814,20070723013599I
815,20000305041579A
816,20040927023879I
817,20010512015479I
818,20041129029259I
819,20040721017019A
820,20010104000889I
821,20000616033779I
822,20020530011759I
823,20031026028409I
824,20031202033139I
825,20000602020479I
826,20000905027259I
827,20051012026399A
828,20011013028359I
829,20010316004949I
830,20010804024349I
831,20030120001339I
832,20000307001029I
833,20001026018619I
834,20031202033289A
835,20020923028509I
836,20020217003559I
837,20060913020689I
838,20020326004329I
839,20000829028349I
840,20010114000379I
841,20020117000559I
842,20050909024959I
843,20000809035889I
844,20030923029889I
845,20070406014429I
846,20030925031499I
847,20030304002439I
848,20010211002559I
849,20060719016239I
850,20030303007419I
851,20080324837649I
852,20040714027509I
853,20020610011909I
854,20020305006309I
855,20020510018049I
856,20020905029409I
857,20030913024469I
858,20021116034609I
859,20060513029749A
860,20021108035539I
861,20070329005549A
862,20061226027309I
863,20040721020559I
864,20040327005989I
865,20020202000999I
866,20070604016919I
867,20000630034929I
868,20020516027239I
869,20050213006089I
870,20060323013409I
871,20000212003239I
872,20000715035499I
873,20010317039169A
874,20000315016899I
875,20030628021789I
876,20050614014859I
877,20080211833029I
878,20031218037819A
879,20000427017119I
880,20000712034079I
881,20020325020589I
882,20000525016589I
883,20040919034489A
884,20030204006139I
885,20050218002669I
886,20020726027129I
887,20051021033279I
888,20030625011829I
889,20001212026559I
890,20020531012959I
891,20000714034869I
892,20200316001349I
893,20050220003439I
894,20041111028689I
895,20001108036269I
896,20080316012429I
897,20011024034799I
898,20070928832029A
899,20020114000489I
900,20020309011739I
901,20001007038359I
902,20070530013049A
903,20030822018579I
904,20000914028819I
905,20070717015229I
906,20061025028539I
907,20001025031419I
908,20020302005869I
909,20010911039199A
910,20010911039189A
911,20010627017479I
912,20040227008209I
913,20001221026459I
914,20060704018609I
915,20061025022749I
916,20030411004249I
917,20050627011979I
918,20030731024139I
919,20080121011649I
920,20011129031609I
921,20001006031409I
922,20001010026639I
923,20000124000959I
924,20030612015339I
925,20000920021579I
926,20020807036979I
927,20011201038379I
928,20020523019639I
929,20040731022769I
930,20001127031519I
931,20050820021439I
932,20011118032459I
933,20040617020529I
934,20000403020199I
935,20031015026689I
936,20040217010589I
937,20041029028789I
938,20060205002429I
939,20020405008359I
940,20080215832279I
941,20020225012049I
942,20000219002939I
943,20080619834949I
944,20030223010089I
945,20070906018679I
946,20050607019039A
947,20031201031359I
948,20010414009589I
949,20031124029529I
950,20051010025679I
951,20000308001309I
952,20070125003229I
953,20040401005249A
954,20050321008189I
955,20040306014959I
956,20050405014299I
957,20021030030839I
958,20070205002049I
959,20020614015849I
960,20000213002619I
961,20000717034439I
962,20011116034929I
963,20020515012389I
964,20021008028999I
965,20000219004319I
966,20020505008809I
967,20001213039359I
968,20031006030719I
969,20070819825929I
970,20061110023159I
971,20030602015539I
972,20070210001439I
973,20010326007609I
974,20020809022469I
975,20010816021249I
976,20010712016619I
977,20070513008519I
978,20050123000929I
979,20080628839489A
980,20060530015759I
981,20010613011449I
982,20001006031709I
983,20020712037199I
984,20020911024109I
985,20080409014509I
986,20000620033949I
987,20040525014689I
988,20040529008599I
989,20031116029039I
990,20011202033869I
991,20000121000639I
992,20040918022829I
993,20010411007659I
994,20060617029759A
995,20021001034579I
996,20020921029089I
997,20070929829729I
998,20031215035819I
999,20080317833069I
